Date,Department or Agency Name,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
06/11/22,WATER MANAGEMENT,WATER,"1,851",32,1.7,"28,796.40"
09/03/22,ADMINISTRATIVE HEARING,AHMS,34,0,0,0
09/03/22,COMM ANIMAL CARE AND CONTROL,ANIMAL,62,2,3.2,620
09/03/22,AVIATION,AVIATION,"1,532",30,2,"24,131.30"
09/03/22,BUS AFFAIRS AND CONSUMER PROT,BACP,183,1,0.5,"1,718.80"
09/03/22,BUILDINGS,BUILDINGS,228,3,1.3,586.8
09/03/22,CULTURAL AFFAIRS,CA,58,0,0,0
09/03/22,CHICAGO BOARD OF EDUCATION,CBOE,"50,769","3,677",7.2,"28,12,529.50"
09/03/22,CITY COLLEGES OF CHICAGO,CCC,"4,421",241,5.5,"1,62,457.10"
09/03/22,CCPSA,CCPSA,1,0,0,0
09/03/22,FIRE DEPARTMENT,CFD,"4,797",101,2.1,"50,237.40"
09/03/22,CHICAGO HOUSING AUTHORITY,CHA,523,18,3.4,"2,887.20"
09/03/22,CITY CLERK,CLERK,84,2,2.4,"1,806.40"
09/03/22,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,158,2,1.3,"3,856.00"
09/03/22,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,121,3,2.5,425
09/03/22,CITY COUNCIL,COUNCIL,392,16,4.1,"14,234.40"
09/03/22,CHICAGO PARK DISTRICT,CPDT,"2,721",136,5,"96,647.50"
09/03/22,CHICAGO PUBLIC LIBRARY,CPL,983,4,0.4,"5,748.10"
09/03/22,CHICAGO TRANSIT AUTHORITY,CTA,"9,813","2,244",22.9,"20,47,699.40"
09/03/22,DAIS,DAIS,946,5,0.5,"1,400.20"
09/03/22,BOARD OF ELECTION COMMISSIONER,ELECTIONS,104,4,3.8,"3,218.80"
09/03/22,BOARD OF ETHICS,ETHICS,7,0,0,0
09/03/22,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,567,12,2.1,"6,311.00"
09/03/22,FINANCE,FINANCE,469,7,1.5,"9,277.20"
09/03/22,PUBLIC HEALTH,HEALTH,571,3,0.5,"34,169.90"
09/03/22,HOUSING,HOUSING,85,5,5.9,"1,126.50"
09/03/22,COMMISSION ON HUMAN RELATIONS,HR,14,0,0,0
09/03/22,HUMAN RESOURCES,HUMANRESOURCES,79,2,2.5,270
09/03/22,LAW,LAW,303,0,0,0
09/03/22,OFFICE OF THE MAYOR,MAYOR,121,0,0,0
09/03/22,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,34,0,0,0
09/03/22,OFFICE OF BUDGET & MANAGEMENT,OBM,38,0,0,0
09/03/22,OFFICE OF EMERGENCY MGMT & COM,OEMC,857,40,4.7,"14,207.30"
09/03/22,POLICE,POLICE,"12,173",103,0.8,"67,694.20"
09/03/22,PROCUREMENT SERV,PROCUREMENT,75,2,2.7,"3,254.60"
09/03/22,PUBLIC SAFETY ADMINISTRATION,PUBLIC SAFETY ADMINI,281,5,1.8,"1,871.50"
09/03/22,STREETS AND SANITATION,STREETSAN,"1,827",26,1.4,"22,393.00"
09/03/22,TRANSPORTATION,TRANS,"1,196",15,1.3,"13,644.00"
09/03/22,CITY TREASURER,TREASURER,29,1,3.4,200
09/03/22,WATER MANAGEMENT,WATER,"1,916",40,2.1,"26,336.30"
09/10/22,ADMINISTRATIVE HEARING,AHMS,33,0,0,0
09/10/22,COMM ANIMAL CARE AND CONTROL,ANIMAL,63,2,3.2,620
09/10/22,AVIATION,AVIATION,"1,541",30,1.9,"23,582.20"
09/10/22,BUS AFFAIRS AND CONSUMER PROT,BACP,180,1,0.6,"1,718.80"
09/10/22,BUILDINGS,BUILDINGS,228,2,0.9,140
09/10/22,CULTURAL AFFAIRS,CA,58,0,0,0
09/10/22,CHICAGO BOARD OF EDUCATION,CBOE,"50,769","3,664",7.2,"28,18,040.60"
09/10/22,CITY COLLEGES OF CHICAGO,CCC,"4,421",237,5.4,"1,64,010.30"
09/10/22,CCPSA,CCPSA,1,0,0,0
06/18/2022,ADMINISTRATIVE HEARING,AHMS,34,1,2.9,270
06/18/2022,COMM ANIMAL CARE AND CONTROL,ANIMAL,66,5,7.6,960
06/18/2022,AVIATION,AVIATION,"1,518",79,5.2,"52,580.00"
06/18/2022,BUS AFFAIRS AND CONSUMER PROT,BACP,177,5,2.8,"8,238.00"
06/18/2022,BUILDINGS,BUILDINGS,235,8,3.4,"1,716.80"
06/18/2022,CULTURAL AFFAIRS,CA,58,0,0,0
06/18/2022,CHICAGO BOARD OF EDUCATION,CBOE,"50,769","4,418",8.7,"35,90,654.10"
06/18/2022,CITY COLLEGES OF CHICAGO,CCC,"4,421",291,6.6,"2,32,533.40"
06/18/2022,CCPSA,CCPSA,1,0,0,0
06/18/2022,FIRE DEPARTMENT,CFD,"4,812",222,4.6,"1,45,785.50"
06/18/2022,CHICAGO HOUSING AUTHORITY,CHA,523,24,4.6,"7,629.20"
06/18/2022,CITY CLERK,CLERK,76,3,3.9,"1,143.50"
06/18/2022,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,150,5,3.3,"4,504.50"
06/18/2022,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,121,8,6.6,"3,617.20"
06/18/2022,CITY COUNCIL,COUNCIL,345,22,6.4,"18,472.40"
06/18/2022,CHICAGO PARK DISTRICT,CPDT,"2,721",190,7,"1,63,376.60"
06/18/2022,CHICAGO PUBLIC LIBRARY,CPL,997,28,2.8,"16,518.90"
06/18/2022,CHICAGO TRANSIT AUTHORITY,CTA,"9,813","2,445",24.9,"26,25,330.40"
06/18/2022,DAIS,DAIS,954,28,2.9,"9,477.80"
06/18/2022,BOARD OF ELECTION COMMISSIONER,ELECTIONS,106,5,4.7,"3,927.00"
06/18/2022,BOARD OF ETHICS,ETHICS,7,0,0,0
06/18/2022,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,560,25,4.5,"16,681.40"
06/18/2022,FINANCE,FINANCE,465,19,4.1,"12,729.80"
06/18/2022,PUBLIC HEALTH,HEALTH,573,24,4.2,"41,145.50"
06/18/2022,HOUSING,HOUSING,78,6,7.7,"1,546.50"
06/18/2022,COMMISSION ON HUMAN RELATIONS,HR,15,0,0,0
06/18/2022,HUMAN RESOURCES,HUMANRESOURCES,75,3,4,"2,604.90"
06/18/2022,LAW,LAW,309,2,0.6,236.7
06/18/2022,OFFICE OF THE MAYOR,MAYOR,101,3,3,"1,495.00"
06/18/2022,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,26,0,0,0
06/18/2022,OFFICE OF BUDGET & MANAGEMENT,OBM,38,0,0,0
06/18/2022,OFFICE OF EMERGENCY MGMT & COM,OEMC,873,65,7.4,"31,002.10"
06/18/2022,POLICE,POLICE,"12,236",530,4.3,"3,06,383.50"
06/18/2022,PROCUREMENT SERV,PROCUREMENT,74,2,2.7,"3,515.60"
06/18/2022,PUBLIC SAFETY ADMINISTRATION,PUBLIC SAFETY ADMINI,279,16,5.7,"6,656.00"
06/18/2022,STREETS AND SANITATION,STREETSAN,"1,853",128,6.9,"86,082.00"
06/18/2022,TRANSPORTATION,TRANS,"1,203",82,6.8,"52,265.40"
06/18/2022,CITY TREASURER,TREASURER,28,1,3.6,200
06/18/2022,WATER MANAGEMENT,WATER,"1,851",107,5.8,"71,616.10"
06/25/2022,ADMINISTRATIVE HEARING,AHMS,34,1,2.9,270
06/25/2022,COMM ANIMAL CARE AND CONTROL,ANIMAL,66,5,7.6,960
06/25/2022,AVIATION,AVIATION,"1,518",74,4.9,"49,182.90"
06/25/2022,BUS AFFAIRS AND CONSUMER PROT,BACP,177,5,2.8,"3,511.80"
06/25/2022,BUILDINGS,BUILDINGS,235,8,3.4,"1,716.80"
06/25/2022,CULTURAL AFFAIRS,CA,58,0,0,0
06/25/2022,CHICAGO BOARD OF EDUCATION,CBOE,"50,769","4,282",8.4,"34,91,670.60"
06/25/2022,CITY COLLEGES OF CHICAGO,CCC,"4,421",280,6.3,"2,30,140.90"
06/25/2022,CCPSA,CCPSA,1,0,0,0
06/25/2022,FIRE DEPARTMENT,CFD,"4,812",211,4.4,"1,39,246.10"
06/25/2022,CHICAGO HOUSING AUTHORITY,CHA,523,22,4.2,"7,239.20"
06/25/2022,CITY CLERK,CLERK,76,3,3.9,993.5
06/25/2022,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,150,5,3.3,"4,508.90"
06/25/2022,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,121,8,6.6,"3,620.40"
06/25/2022,CITY COUNCIL,COUNCIL,345,18,5.2,"15,945.70"
06/25/2022,CHICAGO PARK DISTRICT,CPDT,"2,721",176,6.5,"1,50,800.90"
06/25/2022,CHICAGO PUBLIC LIBRARY,CPL,997,28,2.8,"16,333.90"
06/25/2022,CHICAGO TRANSIT AUTHORITY,CTA,"9,813","2,410",24.6,"25,72,924.30"
06/25/2022,DAIS,DAIS,954,29,3,"10,151.00"
06/25/2022,BOARD OF ELECTION COMMISSIONER,ELECTIONS,106,5,4.7,"3,930.80"
06/25/2022,BOARD OF ETHICS,ETHICS,7,0,0,0
06/25/2022,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,560,25,4.5,"16,749.80"
06/25/2022,FINANCE,FINANCE,465,18,3.9,"12,665.20"
06/25/2022,PUBLIC HEALTH,HEALTH,573,23,4,"39,709.60"
06/25/2022,HOUSING,HOUSING,78,6,7.7,"1,546.50"
06/25/2022,COMMISSION ON HUMAN RELATIONS,HR,15,0,0,0
06/25/2022,HUMAN RESOURCES,HUMANRESOURCES,75,3,4,"2,604.90"
06/25/2022,LAW,LAW,309,2,0.6,236.7
06/25/2022,OFFICE OF THE MAYOR,MAYOR,101,3,3,"1,495.00"
06/25/2022,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,26,0,0,0
06/25/2022,OFFICE OF BUDGET & MANAGEMENT,OBM,38,0,0,0
06/25/2022,OFFICE OF EMERGENCY MGMT & COM,OEMC,873,59,6.8,"28,577.60"
06/25/2022,POLICE,POLICE,"12,236",500,4.1,"2,83,029.40"
06/25/2022,PROCUREMENT SERV,PROCUREMENT,74,2,2.7,"3,517.30"
06/25/2022,PUBLIC SAFETY ADMINISTRATION,PUBLIC SAFETY ADMINI,279,16,5.7,"6,606.00"
06/25/2022,STREETS AND SANITATION,STREETSAN,"1,853",123,6.6,"82,665.50"
06/25/2022,TRANSPORTATION,TRANS,"1,203",75,6.2,"49,871.10"
06/25/2022,CITY TREASURER,TREASURER,28,1,3.6,200
06/25/2022,WATER MANAGEMENT,WATER,"1,851",105,5.7,"76,002.10"
09/10/22,FIRE DEPARTMENT,CFD,"4,776",102,2.1,"55,572.10"
09/10/22,CHICAGO HOUSING AUTHORITY,CHA,523,17,3.3,"3,493.10"
09/10/22,CITY CLERK,CLERK,77,1,1.3,"1,474.00"
09/10/22,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,159,2,1.3,"3,860.50"
09/10/22,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,122,3,2.5,425
09/10/22,CITY COUNCIL,COUNCIL,395,16,4.1,"14,234.40"
09/10/22,CHICAGO PARK DISTRICT,CPDT,"2,721",135,5,"95,126.20"
09/10/22,CHICAGO PUBLIC LIBRARY,CPL,992,3,0.3,"5,512.80"
09/10/22,CHICAGO TRANSIT AUTHORITY,CTA,"9,813","2,232",22.7,"20,34,718.80"
09/10/22,DAIS,DAIS,944,6,0.6,"1,696.50"
09/10/22,BOARD OF ELECTION COMMISSIONER,ELECTIONS,103,4,3.9,"3,222.60"
09/10/22,BOARD OF ETHICS,ETHICS,7,0,0,0
09/10/22,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,570,13,2.3,"6,320.10"
09/10/22,FINANCE,FINANCE,469,6,1.3,"8,941.60"
09/10/22,PUBLIC HEALTH,HEALTH,578,3,0.5,"33,059.90"
09/10/22,HOUSING,HOUSING,86,5,5.8,"1,126.50"
09/10/22,COMMISSION ON HUMAN RELATIONS,HR,14,0,0,0
09/10/22,HUMAN RESOURCES,HUMANRESOURCES,80,2,2.5,270
09/10/22,LAW,LAW,299,0,0,0
09/10/22,OFFICE OF THE MAYOR,MAYOR,119,1,0.8,"1,260.00"
09/10/22,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,33,0,0,0
09/10/22,OFFICE OF BUDGET & MANAGEMENT,OBM,40,0,0,0
09/10/22,OFFICE OF EMERGENCY MGMT & COM,OEMC,869,39,4.5,"13,693.80"
09/10/22,POLICE,POLICE,"12,274",99,0.8,"65,855.30"
09/10/22,PROCUREMENT SERV,PROCUREMENT,76,2,2.6,"3,256.40"
09/10/22,PUBLIC SAFETY ADMINISTRATION,PUBLIC SAFETY ADMINI,276,5,1.8,"1,871.50"
09/10/22,STREETS AND SANITATION,STREETSAN,"1,821",28,1.5,"26,273.80"
09/10/22,TRANSPORTATION,TRANS,"1,209",15,1.2,"11,797.90"
09/10/22,CITY TREASURER,TREASURER,28,1,3.6,200
09/10/22,WATER MANAGEMENT,WATER,"1,967",42,2.1,"28,141.70"
07/02/22,ADMINISTRATIVE HEARING,AHMS,34,1,2.9,270
07/02/22,COMM ANIMAL CARE AND CONTROL,ANIMAL,66,5,7.6,960
07/02/22,AVIATION,AVIATION,"1,518",75,4.9,"50,260.00"
07/02/22,BUS AFFAIRS AND CONSUMER PROT,BACP,177,4,2.3,"3,311.80"
07/02/22,BUILDINGS,BUILDINGS,235,7,3,"1,646.80"
07/02/22,CULTURAL AFFAIRS,CA,58,0,0,0
07/02/22,CHICAGO BOARD OF EDUCATION,CBOE,"50,769","4,228",8.3,"34,69,450.60"
07/02/22,CITY COLLEGES OF CHICAGO,CCC,"4,421",281,6.4,"2,31,043.00"
07/02/22,CCPSA,CCPSA,1,0,0,0
07/02/22,FIRE DEPARTMENT,CFD,"4,812",207,4.3,"1,37,271.00"
07/02/22,CHICAGO HOUSING AUTHORITY,CHA,523,22,4.2,"7,239.20"
07/02/22,CITY CLERK,CLERK,76,3,3.9,993.5
07/02/22,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,150,5,3.3,"4,513.40"
07/02/22,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,121,8,6.6,"3,623.60"
07/02/22,CITY COUNCIL,COUNCIL,345,18,5.2,"15,945.70"
07/02/22,CHICAGO PARK DISTRICT,CPDT,"2,721",172,6.3,"1,49,224.00"
07/02/22,CHICAGO PUBLIC LIBRARY,CPL,997,22,2.2,"9,635.40"
07/02/22,CHICAGO TRANSIT AUTHORITY,CTA,"9,813","2,393",24.4,"25,59,397.80"
07/02/22,DAIS,DAIS,954,24,2.5,"8,019.80"
07/02/22,BOARD OF ELECTION COMMISSIONER,ELECTIONS,106,5,4.7,"3,934.50"
07/02/22,BOARD OF ETHICS,ETHICS,7,0,0,0
07/02/22,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,560,25,4.5,"16,689.20"
07/02/22,FINANCE,FINANCE,465,13,2.8,"9,041.30"
07/02/22,PUBLIC HEALTH,HEALTH,573,21,3.7,"38,131.00"
07/02/22,HOUSING,HOUSING,78,6,7.7,"1,546.50"
07/02/22,COMMISSION ON HUMAN RELATIONS,HR,15,0,0,0
07/02/22,HUMAN RESOURCES,HUMANRESOURCES,75,3,4,"2,604.90"
07/02/22,LAW,LAW,309,2,0.6,236.7
07/02/22,OFFICE OF THE MAYOR,MAYOR,101,2,2,"1,355.00"
07/02/22,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,26,0,0,0
07/02/22,OFFICE OF BUDGET & MANAGEMENT,OBM,38,0,0,0
07/02/22,OFFICE OF EMERGENCY MGMT & COM,OEMC,873,58,6.6,"27,213.80"
07/02/22,POLICE,POLICE,"12,236",492,4,"2,81,369.20"
07/02/22,PROCUREMENT SERV,PROCUREMENT,74,2,2.7,"3,519.00"
07/02/22,PUBLIC SAFETY ADMINISTRATION,PUBLIC SAFETY ADMINI,279,15,5.4,"6,506.00"
07/02/22,STREETS AND SANITATION,STREETSAN,"1,853",118,6.4,"80,307.90"
07/02/22,TRANSPORTATION,TRANS,"1,203",69,5.7,"46,969.30"
07/02/22,CITY TREASURER,TREASURER,28,1,3.6,200
07/02/22,WATER MANAGEMENT,WATER,"1,851",102,5.5,"75,460.20"
07/09/22,ADMINISTRATIVE HEARING,AHMS,34,1,2.9,270
07/09/22,COMM ANIMAL CARE AND CONTROL,ANIMAL,65,3,4.6,820
07/09/22,AVIATION,AVIATION,"1,523",64,4.2,"37,212.60"
07/09/22,BUS AFFAIRS AND CONSUMER PROT,BACP,180,2,1.1,695
07/09/22,BUILDINGS,BUILDINGS,236,7,3,"1,646.80"
07/09/22,CULTURAL AFFAIRS,CA,58,0,0,0
07/09/22,CHICAGO BOARD OF EDUCATION,CBOE,"50,769","4,052",8,"32,98,716.60"
07/09/22,CITY COLLEGES OF CHICAGO,CCC,"4,421",279,6.3,"2,39,130.10"
07/09/22,CCPSA,CCPSA,1,0,0,0
07/09/22,FIRE DEPARTMENT,CFD,"4,804",194,4,"1,30,675.40"
07/09/22,CHICAGO HOUSING AUTHORITY,CHA,523,23,4.4,"4,326.60"
07/09/22,CITY CLERK,CLERK,81,2,2.5,783.5
07/09/22,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,153,4,2.6,"4,320.90"
07/09/22,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,123,8,6.5,"3,626.80"
07/09/22,CITY COUNCIL,COUNCIL,385,17,4.4,"15,825.70"
07/09/22,CHICAGO PARK DISTRICT,CPDT,"2,721",163,6,"1,44,901.50"
07/09/22,CHICAGO PUBLIC LIBRARY,CPL,988,16,1.6,"8,842.80"
07/09/22,CHICAGO TRANSIT AUTHORITY,CTA,"9,813","2,376",24.2,"25,51,780.40"
07/09/22,DAIS,DAIS,964,22,2.3,"7,931.80"
07/09/22,BOARD OF ELECTION COMMISSIONER,ELECTIONS,104,4,3.8,"3,738.20"
07/09/22,BOARD OF ETHICS,ETHICS,7,0,0,0
07/09/22,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,565,23,4.1,"16,562.30"
07/09/22,FINANCE,FINANCE,470,9,1.9,"7,816.70"
07/09/22,PUBLIC HEALTH,HEALTH,576,19,3.3,"37,729.40"
07/09/22,HOUSING,HOUSING,81,5,6.2,"2,126.50"
07/09/22,COMMISSION ON HUMAN RELATIONS,HR,14,0,0,0
07/09/22,HUMAN RESOURCES,HUMANRESOURCES,75,3,4,"2,604.90"
07/09/22,LAW,LAW,309,0,0,0
07/09/22,OFFICE OF THE MAYOR,MAYOR,122,1,0.8,70
07/09/22,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,30,0,0,0
07/09/22,OFFICE OF BUDGET & MANAGEMENT,OBM,37,0,0,0
07/09/22,OFFICE OF EMERGENCY MGMT & COM,OEMC,889,55,6.2,"25,522.30"
07/09/22,POLICE,POLICE,"12,206",471,3.9,"2,72,117.10"
07/09/22,PROCUREMENT SERV,PROCUREMENT,78,1,1.3,"1,820.00"
07/09/22,PUBLIC SAFETY ADMINISTRATION,PUBLIC SAFETY ADMINI,285,13,4.6,"6,023.50"
07/09/22,STREETS AND SANITATION,STREETSAN,"1,843",105,5.7,"67,648.10"
07/09/22,TRANSPORTATION,TRANS,"1,204",57,4.7,"41,741.30"
07/09/22,CITY TREASURER,TREASURER,28,1,3.6,200
07/09/22,WATER MANAGEMENT,WATER,"1,880",93,4.9,"63,428.60"
07/16/2022,ADMINISTRATIVE HEARING,AHMS,34,2,5.9,532.4
07/16/2022,COMM ANIMAL CARE AND CONTROL,ANIMAL,65,3,4.6,820
07/16/2022,AVIATION,AVIATION,"1,523",61,4,"34,129.90"
07/16/2022,BUS AFFAIRS AND CONSUMER PROT,BACP,180,2,1.1,695
07/16/2022,BUILDINGS,BUILDINGS,236,7,3,"1,646.80"
07/16/2022,CULTURAL AFFAIRS,CA,58,0,0,0
07/16/2022,CHICAGO BOARD OF EDUCATION,CBOE,"50,769","3,979",7.8,"32,23,743.40"
07/16/2022,CITY COLLEGES OF CHICAGO,CCC,"4,421",276,6.2,"2,36,346.10"
07/16/2022,CCPSA,CCPSA,1,0,0,0
07/16/2022,FIRE DEPARTMENT,CFD,"4,804",177,3.7,"1,18,455.60"
07/16/2022,CHICAGO HOUSING AUTHORITY,CHA,523,22,4.2,"4,614.40"
07/16/2022,CITY CLERK,CLERK,81,1,1.2,348.7
07/16/2022,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,153,4,2.6,"4,325.40"
07/16/2022,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,123,8,6.5,"3,629.90"
07/16/2022,CITY COUNCIL,COUNCIL,385,17,4.4,"15,825.70"
07/16/2022,CHICAGO PARK DISTRICT,CPDT,"2,721",155,5.7,"1,36,924.10"
07/16/2022,CHICAGO PUBLIC LIBRARY,CPL,988,15,1.5,"8,647.80"
07/16/2022,CHICAGO TRANSIT AUTHORITY,CTA,"9,813","2,364",24.1,"25,30,122.00"
07/16/2022,DAIS,DAIS,964,14,1.5,"4,194.60"
07/16/2022,BOARD OF ELECTION COMMISSIONER,ELECTIONS,104,3,2.9,"3,181.30"
07/16/2022,BOARD OF ETHICS,ETHICS,7,0,0,0
